MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-11T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472851,11.23367,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47282,11.233604,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47286,11.233585,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47288,11.233968,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.473237,11.232689,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.473255,11.232586,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.473301,11.232573,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47331,11.230826,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.473285,11.230863,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472592,11.230161,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472514,11.230194,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472338,11.232567,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472312,11.232571,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472238,11.232476,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471982,11.232418,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471899,11.232395,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471965,11.232493,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471735,11.232606,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.470404,11.231091,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471161,11.231424,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471061,11.231542,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472153,11.233797,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472171,11.233716,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472098,11.233781,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472648,11.233849,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,1,A
1,2013-10-11T00:00:00Z,-4.472809,11.233933,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472708,11.233841,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472598,11.23397,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472935,11.234441,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472926,11.234531,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472799,11.234499,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.470298,11.23102,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47276,11.23507,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472993,11.235446,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.473026,11.236207,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472979,11.236017,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47298,11.236059,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472945,11.236046,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.472226,11.235659,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.471238,11.234225,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47124,11.234133,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.470643,11.234139,Swarm,Male Mark A,0,A
1,2013-10-11T00:00:00Z,-4.47139,11.233322,Swarm,Male Mark A,0,A
