X,Y,CompID,Locality,Category,long_dd,lat_dd,X_m,Y_m,Alt_m,Houses_tre,Houses_Are,Nb_houses,Nb_Rooms,NB_bednets,Nb_beds
-4.471575,11.232456000000001,80,Village,Concession,-4.471575,11.232456000000001,339350.336794,1242084.32642,337.06543,1111.791233,179.578387,8,11,6,6
-4.470228,11.231035,81,Village,Concession,-4.470228,11.231035,339496.631109,1241926.41957,335.383179,2063.339347,111.563608,4,9,5,6
-4.47069,11.2315,82,Village,Concession,-4.47069,11.2315,339446.441896,1241978.1036,335.86377,1718.196029,80.188736,2,4,2,2
-4.471091,11.23148300000014,83,Village,Concession,-4.471091,11.231483,339402.646826,1241976.44229,337.06543,8256.624442,84.645133,4,5,1,3
-4.470998,11.232053,84,Village,Concession,-4.470998,11.232053,339413.116949,1242039.43696,336.584839,699.263854,117.383021,5,8,4,4
-4.470718,11.231998,85,Village,Concession,-4.470718,11.231998,339443.659999,1242033.20071,339.228394,336.319024,52.212066,2,2,0,0
-4.470755,11.232302,86,Village,Concession,-4.470755,11.232302,339439.788093,1242066.84516,334.662231,1382.070994,91.949903,2,4,1,1
-4.47104,11.232662,87,Village,Concession,-4.47104,11.232662,339408.867872,1242106.819,335.623413,604.691649,92.834241,5,6,3,5
-4.471221,11.232512,88,Village,Concession,-4.471221,11.232512,339389.021342,1242090.32696,336.344482,250.45602,32.350821,2,2,1,2
-4.47213,11.233716,89,Village,Concession,-4.47213,11.233716,339290.43355,1242223.99347,336.104126,393.195451,193.433017,7,15,9,9
-4.472371,11.233698,90,Village,Concession,-4.472371,11.233698,339264.108692,1242222.13431,334.421875,383.341942,224.167047,9,14,9,9
-4.472611,11.233626,91,Village,Concession,-4.472611,11.233626,339237.863106,1242214.3019,335.142822,53.14008,36.106172,2,3,1,1
-4.472674,11.23394,92,Village,Concession,-4.472674,11.23394,339231.15805,1242249.06669,336.104126,313.686395,170.450513,7,13,5,5
-4.472848,11.23398,93,Village,Concession,-4.472848,11.23398,339212.18109,1242253.5861,335.86377,296.582259,26.957107,1,1,0,0
-4.472789,11.234441000000118,94,Village,Concession,-4.472789,11.234441,339218.878725,1242304.54328,334.421875,2510.334419,231.621733,9,16,10,12
-4.472744,11.235100000000102,95,Village,Concession,-4.472744,11.2351,339224.157391,1242377.40814,339.949341,753.178003,99.609418,6,6,3,4
-4.47298,11.235462,96,Village,Concession,-4.47298,11.235462,339198.589171,1242417.57667,334.902466,815.11804,92.20949,6,7,4,4
-4.47293,11.235653,97,Village,Concession,-4.47293,11.235653,339204.154502,1242438.6751,334.181519,366.757201,62.012994,5,5,4,4
-4.472995,11.236154,98,Village,Concession,-4.472995,11.236154,339197.334817,1242494.12437,339.468628,2642.537486,77.989232,4,5,0,0
-4.472831,11.236024,99,Village,Concession,-4.472831,11.236024,339215.169861,1242479.65584,335.383179,563.179742,78.040003,3,4,3,3
-4.472583,11.235612,100,Village,Concession,-4.472583,11.235612,339242.020615,1242433.95045,334.902466,507.525731,74.564686,7,7,5,5
-4.472469,11.235305,101,Village,Concession,-4.472469,11.235305,339254.298175,1242399.932,332.979858,396.945597,91.765943,7,9,5,5
-4.472213,11.23564800000014,102,Village,Concession,-4.472213,11.235648,339282.440746,1242437.72993,339.468628,1118.567897,42.110244,4,4,4,5
-4.47196,11.235434,103,Village,Concession,-4.47196,11.235434,339309.947226,1242413.92189,336.584839,891.001713,109.438994,6,8,4,4
-4.47208,11.235019000000136,104,Village,Concession,-4.47208,11.235019,339296.614626,1242368.08594,337.546021,1425.787573,101.613756,4,6,1,1
-4.47119,11.234212,105,Village,Concession,-4.47119,11.234212,339393.347004,1242278.34039,338.747681,5640.776629,83.358101,3,4,3,3
-4.471004,11.234789,106,Village,Concession,-4.471004,11.234789,339413.975668,1242342.0585,343.073608,2026.679158,85.904915,2,4,9,9
-4.470827,11.2347180000001,107,Village,Concession,-4.470827,11.234718,339433.263003,1242334.10878,334.181519,8012.745471,84.147462,3,4,1,1
-4.469453,11.234856,108,Village,Concession,-4.469453,11.234856,339583.366265,1242348.62225,335.86377,783.020005,146.1619,5,9,0,0
